X...,base,title,type,name,source_name_ch1,mem,fraction_myeloid,fraction_lymphoid,bcell.ch1,bmem.ch1,bnv.ch1,cd4mem.ch1,cd4nv.ch1,cd4t.ch1,cd8t.ch1,eos.ch1,gran.ch1,mono.ch1,neu.ch1,nk.ch1,treg.ch1,RepliTali,LymphoTali,MyeloTali,sl.LymphoTali,sl.MyeloTali,pcgtAge,hypoSC,epiTOC2.tnsc,epiTOC2.tnsc2,epiCMIT,MiAge
GSM5121367,X204361720136_R02C01,mem mix6,mix,mix,artificial mixture of purified leukocytes,0.176,0.267356882,0.732643118,0.325,0.087,0.238,0.089,0.088,0.177,0.11,0.065,0.244,0.055,0.075,0.089,0,2.845183176,24.3276755,5.286771025,27.94995478,20.88111801,0.0967028,0.916817344,3393.895485,4756.633481,0.195387914,1051.866873
GSM5121368,X204361720136_R01C01,mem mix15,mix,mix,artificial mixture of purified leukocytes,0.273,0.333544304,0.666455696,0.117,0.074,0.043,0.163,0.089,0.288,0.183,0.097,0.255,0.097,0.078,0.06,0.036,10.07981861,30.23623192,5.700696853,34.28195133,22.00816955,0.100181609,0.900138054,3593.758768,4948.328425,0.245173245,1067.996378
GSM5121369,X204237140015_R08C01,CD4nv1217,pure,T_CD4_RA,"Human Peripheral Blood CD4+ CD45RA+ T Cells, Frozen",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.532529884,17.49404751,0.256100624,18.55603038,18.44955591,0.077323039,0.934754553,2352.216644,3750.478889,0.106100607,985.9799023
GSM5121370,X204237140014_R06C01,CD4nv1876,pure,T_CD4_RA,"Human Peripheral Blood CD4+ CD45RA+ T Cells, Frozen",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.535352138,16.9567909,0.400334123,18.10168556,18.32302219,0.07855457,0.935919001,2375.363281,3773.868183,0.107545687,1043.683717
GSM5121371,X204237140014_R04C01,CD4mem2075,pure,T_CD4_RO,"Human Peripheral Blood CD4+ CD45RO+ T Cells, Frozen",1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.31817839,48.17311441,1.173342226,48.7133083,25.51934496,0.11363278,0.865091231,4233.65113,5565.321894,0.363957142,1577.849693
GSM5121372,X204237140014_R03C01,CD4nv1906,pure,T_CD4_RA,"Human Peripheral Blood CD4+ CD45RA+ T Cells, Frozen",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.636893877,16.79711125,0.529044593,17.86888439,18.77033724,0.085680196,0.933223828,2696.592989,4082.6477,0.10375191,1014.646571
GSM5121373,X204237140014_R02C01,Baso 2016,pure,Baso,"Human peripheral blood IgE+ CD123+ Basophils, Frozen",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.870489925,1.858202253,20.061032,18.90923712,20.5199047,0.063382818,0.91257415,1580.088335,3008.5205,0.135337033,607.9641758
GSM5121374,X204237140013_R04C01,CD4mem1877,pure,T_CD4_RO,"Human Peripheral Blood CD4+ CD45RO+ T Cells, Frozen",1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.87308411,49.40132382,0.659108257,49.27679085,25.90056539,0.114663899,0.865975314,4410.985271,5735.412589,0.36641952,1591.753164
GSM5121375,X204237140011_R04C01,CD4nv 2081,pure,T_CD4_RA,"Human Peripheral Blood CD4+ CD45RA+ T Cells, Frozen",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.954281092,16.82162811,0.382046742,17.60588393,18.38201959,0.079178103,0.935247093,2341.204754,3738.238972,0.103594546,998.4311848
GSM5121376,X204237140011_R02C01,CD4mem 2193,pure,T_CD4_RO,"Human Peripheral Blood CD4+ CD45RO+ T Cells, Frozen",1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.29822295,55.72635879,0.940397845,56.03054651,27.42178746,0.13296982,0.834226848,5451.589149,6738.436247,0.421098496,1912.372544
GSM5121377,X204237140011_R01C01,CD4nv 1969,pure,T_CD4_RA,"Human Peripheral Blood CD4+ CD45RA+ T Cells, Frozen",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.547901855,15.84308882,0.407056705,17.31835928,18.361724,0.075700432,0.93303912,2120.259438,3526.618792,0.102271363,935.0677415
GSM5121378,X204086440139_R07C01,Baso 2182,pure,Baso,"Human peripheral blood IgE+ CD123+ Basophils, Frozen",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.091916886,2.088918326,20.07009284,19.45275997,20.95065958,0.061862842,0.917007153,1578.875595,3006.775601,0.145130435,636.6131273
GSM5121379,X204086440139_R04C01,Baso 2069,pure,Baso,"Human peripheral blood IgE+ CD123+ Basophils, Frozen",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.653817914,2.328818881,21.62924995,18.73402686,22.55485271,0.065587996,0.918389652,1717.511116,3140.228322,0.139249318,762.0360235
GSM5121380,X204086440139_R02C01,CD4mem 2165,pure,T_CD4_RO,"Human Peripheral Blood CD4+ CD45RO+ T Cells, Frozen",1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.93274008,50.46923288,0.656144726,50.95787985,26.39556165,0.108901407,0.860574832,4073.977533,5409.633168,0.380884279,1435.74255
GSM5121381,X203991450045_R08C01,Bmem0031,pure,Bmem,"Human Peripheral blood, CD19+ CD27+ B cells, Frozen",1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.95100764,60.97417593,0.634299792,60.58947198,26.56170124,0.162736686,0.846573508,7061.818295,8295.054748,0.48062408,1543.359972
GSM5121382,X203991450045_R07C01,Bn0139,pure,Bn,"Human Peripheral blood, CD19+ CD27- B cells, Frozen",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.05220146,11.55981456,0.421770736,13.42487406,19.47168035,0.066923536,0.93845594,1670.675185,3092.976639,0.089960469,850.8844719
GSM5121383,X203991450045_R06C01,Bn0150,pure,Bn,"Human Peripheral blood, CD19+ CD27- B cells, Frozen",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.264185185,17.31049572,0.657190339,18.42238542,19.92052557,0.074520733,0.932134171,2194.321796,3597.033593,0.123974597,913.9472263
GSM5121384,X203991450045_R05C01,Bmem0187,pure,Bmem,"Human Peripheral blood, CD19+ CD27+ B cells, Frozen",1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.85030984,72.5786787,0.858922195,72.39807008,30.51163865,0.286011142,0.805670388,13690.01796,14700.5113,0.558357937,2913.969211
GSM5121385,X203991450045_R03C01,Bmem0055,pure,Bmem,"Human Peripheral blood, CD19+ CD27+ B cells, Frozen",1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.14941449,68.50900005,0.932731318,68.43198378,28.48425031,0.238645551,0.805152071,11193.88362,12287.0662,0.562448246,2446.713616
GSM5121386,X203991450045_R01C01,Bn0046,pure,Bn,"Human Peripheral blood, CD19+ CD27- B cells, Frozen",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.87700063,12.03692707,0.808541608,14.34052816,20.74769458,0.065636407,0.929344431,1692.88931,3113.132299,0.092394949,746.299413
GSM5121387,X203991450040_R08C01,Bmem0192,pure,Bmem,"Human Peripheral blood, CD19+ CD27+ B cells, Frozen",1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.55700175,60.81224442,0.451743061,60.88586249,23.65511369,0.158431673,0.846240482,6977.101623,8211.993175,0.475806467,1595.989095
